GEOID,year,black_wealth_index,latino_wealth_index,white_wealth_index,black_white_gap,latino_white_gap
24001002000,2015,2.4802504786268,0.450983891289146,1.30153338291694,1.17871709570987,-0.850549491627789
24001002000,2016,,,1.34334886189213,,
24001002000,2017,,,1.39959042644378,,
24001002000,2018,,,1.16534798031594,,
24001002000,2019,,-1.17980781241705,1.13901549798005,,-2.3188233103971
24001002000,2020,,-1.21930172081407,0.990672197057962,,-2.20997391787203
24001002000,2021,,,1.14697774098486,,
24001002000,2022,,,1.1567482628767,,
24001002000,2023,,,1.42579310265629,,
24001002100,2014,,,0.576027862039094,,
24001002100,2015,,,0.822963001834142,,
24001002100,2016,,,0.756077446678969,,
24001002100,2017,,,0.900899172537215,,
24001002100,2018,,,0.822553743167833,,
24001002100,2019,,,0.865655844838875,,
24001002100,2020,,,0.680756810288909,,
24001002100,2021,,,0.63483755751683,,
24001002100,2022,,0.63035568132624,0.836548382015829,,-0.20619270068959
24001002100,2023,,0.451553752064814,1.03197403201823,,-0.580420279953413
24001002200,2014,,,1.19265340057409,,
24001002200,2015,,,1.19651965336341,,
24001002200,2016,,,1.1526422257,,
24001002200,2017,,,0.867138819593144,,
24001002200,2018,,,0.945391367960064,,
24001002200,2019,,,0.836451876538996,,
24001002200,2020,,,1.06510288798129,,
24001002200,2021,,,0.978679404142744,,
24001002200,2022,,-0.128000523813974,1.22362609042356,,-1.35162661423754
24001002200,2023,,,1.08665190126197,,
24001002300,2014,-1.14444977019611,,1.02171550570451,-2.16616527590062,
24001002300,2015,-0.94415085946011,,0.980632289488534,-1.92478314894864,
24001002300,2016,-1.58592231462077,0.897267716477437,1.14769715153847,-2.73361946615924,-0.250429435061034
24001002300,2017,-1.74950515321836,1.75898998246552,1.1656053286823,-2.91511048190066,0.593384653783217
24001002300,2018,-2.27623186905548,1.81146411114426,0.932714533082291,-3.20894640213777,0.878749578061971
24001002300,2019,-2.13377374498887,1.90276713170011,0.790025785786597,-2.92379953077547,1.11274134591351
24001002300,2020,-2.61636394306994,1.68163862727893,0.956916676640719,-3.57328061971066,0.724721950638215
24001002300,2021,-1.94219113122984,,0.787387387610706,-2.72957851884055,
24001002300,2022,-1.60391338093476,,0.82394727140085,-2.42786065233561,
24001002300,2023,-1.35685755472809,,1.09140984215223,-2.44826739688032,
24003701101,2014,,1.40423127500673,1.83123377700272,,-0.427002501995991
24003701101,2015,1.48871704975699,1.45816369117194,1.8057766994047,-0.317059649647716,-0.34761300823276
24003701101,2016,1.52860378941342,1.06996110070163,1.85727153703254,-0.328667747619121,-0.787310436330916
24003701101,2017,1.8363014953345,1.09120294302257,1.81943652914279,0.0168649661917097,-0.728233586120219
24003701101,2018,1.86177537948483,1.76075898219348,1.8963640600534,-0.034588680568564,-0.135605077859918
24003701101,2019,2.48588554116789,1.65651338729539,1.88384374077113,0.602041800396762,-0.227330353475739
24003701101,2020,,1.87791338812727,1.99143303040108,,-0.113519642273813
24003701101,2021,,1.58135428613376,2.05481005114212,,-0.47345576500836
24003701101,2022,0.730403128082263,2.15487144884666,2.07436059406409,-1.34395746598183,0.0805108547825744
24003701101,2023,0.587289753629396,0.185807309743699,2.12781169335748,-1.54052193972809,-1.94200438361378
24003701103,2014,-0.384465528624506,1.61281973172377,1.24634951674037,-1.63081504536488,0.366470214983393
24003701103,2015,0.136116403236804,1.45763799321231,1.10967339195482,-0.973556988718017,0.347964601257494
