tract_geoid,place_type,place_name,place_dist,place_dir
24003750804,hamlet,Ferndale Manor,,
24003750804,neighbourhood,Glenmore,,
24003750804,hamlet,North Welham,,
24003701101,hamlet,Steuart Corner,,
24003701101,hamlet,South Down Shores,,
24003701101,hamlet,Withernsea,,
24003701101,village,Riva,,
24003701101,neighbourhood,Waterford,,
24003701101,hamlet,Southdown Estates,,
24003701101,neighbourhood,Berkshire,,
24003701101,hamlet,Steuart Level,,
24003701101,neighbourhood,South River Heights,,
24003701101,hamlet,Hazelwood,,
24003701101,neighbourhood,Tarzan Forest,,
24003701101,hamlet,Chestnut Hills,,
24003701101,hamlet,Edgewater Beach,,
24003701101,neighbourhood,Annapolis Landing,,
24003701101,neighbourhood,Cambria,,
24005491202,neighbourhood,Knettishall,,
24005491300,neighbourhood,Fellowship Forest,,
24005491300,neighbourhood,Glendale,,
24005491300,neighbourhood,Glenmont,,
24005491300,neighbourhood,TowsonTown Place,,
24031701221,neighbourhood,Hunting Hill,0.6737371496110367,S
24027601105,neighbourhood,Glenmar,,
24027601105,neighbourhood,Montgomery Run,,
24027606706,neighbourhood,Woodland Village,1.1122299734557475,SW
24027601107,neighbourhood,Woodland Village,0.8221180228005474,S
24003702100,hamlet,Sunrise Beach,,
24003702100,hamlet,Cedarcroft,,
24003702100,hamlet,Harbor Oaks,,
24003702100,hamlet,Palisades on the Severn,,
24003702100,hamlet,Cranberry Woods,,
24003702100,hamlet,Valentine Creek,,
24003702100,village,Arden on the Severn,,
24003702100,hamlet,Tall Timbers,,
24003702100,hamlet,Indian Landing Estates,,
24003702100,village,Crownsville,,
24003702100,hamlet,Indian Creek Estates,,
24003702100,hamlet,Belvoir Farms,,
24003702100,village,Herald Harbor,,
24003702100,hamlet,Severn Crossroads,,
24003702100,neighbourhood,Maynadier,,
24003702100,neighbourhood,Palisades Park,,
24003702100,hamlet,Waterbury Heights,,
24003702100,hamlet,Gotts,,
24003702100,hamlet,Severn Landing,,
24003702100,hamlet,Belvoir Manor,,
24021752502,locality,Bells Mill,,
24021752502,hamlet,Springview,,
24021752502,neighbourhood,Catoctin Point,,
24021752502,neighbourhood,Jefferson Heights,,
24021752502,hamlet,Jefferson View,,
24021752502,neighbourhood,Wilber Woods,,
24021752502,neighbourhood,Boss Arnold Village,,
24021752502,locality,Lander,,
24021752502,hamlet,Potomac Gateway,,
24021752502,hamlet,Roundtree,,
24021752502,hamlet,Mar-Lu-Ridge Vista,,
24021752502,neighbourhood,Sunrise,,
24021752502,hamlet,Burgee,,
24021752502,neighbourhood,Potomac Overlook,,
24021752502,hamlet,Mountville,,
24021751003,neighbourhood,Frederick Villas,,
24021751003,neighbourhood,Hillmark,,
24021751003,neighbourhood,Foxcroft,,
24021751003,locality,Grove,,
24021751003,locality,Frederick Junction,,
24021751003,locality,Evergreen Point,,
24021751003,neighbourhood,Mountain Village,,
24021751003,neighbourhood,Windy Hill,,
24021751201,neighbourhood,West Hills,,
24021751201,neighbourhood,Cloverview,,
24021751201,neighbourhood,Clover Hill,,
24021751201,neighbourhood,Cloverdale,,
24021751201,neighbourhood,Indian Springs,,
24021750506,hamlet,Clifton Knoll,,
24021750506,locality,Braddock,,
24021750506,locality,Fuller,,
24021751301,hamlet,Charlesville,,
24021751301,neighbourhood,Bootjack Springs Estates,,
24021751301,neighbourhood,Eyler Springs,,
24021751301,hamlet,Yellow Springs,,
24021751301,neighbourhood,Aynsley,,
