ZIP,INSAGNT1,BKCLASS,CNTRYNAB,ZIPBR,CHRTAGNT,MSABR,UNINUMBR,STNAME,SIMS_ESTABLISHED_DATE,YEAR,CHRTAGNN,BRSERTYP,STNUMBR,SIMS_DESCRIPTION,FDICDBS,DOCKET,CNTRYNA,NAMEHCR,UNIT,OCCDIST,DEPSUM,DEPDOM,ESCROW,CITY2BR,HCTMULT,INSURED,SIMS_PROJECTION,BRCENM,CHARTER,BKMO,CONSOLD,DIVISIONB,ADDRESS,CSABR,DEPSUMBR,RSSDHCR,CNTYNUMB,CERT,SIMS_LATITUDE,STALP,SPECGRP,CALL,DENOVO,FDICNAME,RSSDID,NAMEBR,METROBR,NECNAMB,CNTYNAMB,SPECDESC,OCCNAME,NECTABR,SIMS_ACQUIRED_DATE,MICROBR,ZIP_RAW,ZIPBR_RAW,BRNUM,CB,STALPBR,USA,STNAMEBR,FED,REGAGNT,FEDNAME,ASSET,INSBRTS,PLACENUM,ADDRESBR,SIMS_LONGITUDE,INSBRDD,CITYHCR,STCNTY,CSANAMBR,CITY,CLCODE,STCNTYBR,CBSA_DIV_NAMB,MSANAMB,NAMEFULL,CITYBR,STALPHCR,ID
22030,DIF,SM,United States,22980,STATE,44420,289365,Virginia,06/01/1999,2024,State Agency,11,51,100.0,5,10762,United States,"UNITED BANKSHARES, INC.",0,,0,23305317,,Waynesboro,ONE,CB,EXACT,"",STATE,0,,0,11185 Fairfax Blvd,277,31107,1076217,15,22858,38.0861560060113,VA,4,CALL,0,Atlanta,365325,Waynesboro Branch,1,,Augusta,COMMERCIAL LENDING,"",,07/14/2007,0,22030,22980,69,0,VA,1,Virginia,5,FED,Richmond,29868220,,0,"2556 Jefferson Hwy, Ste 110",-78.9367609931793,,CHARLESTON,51059,"Harrisonburg-Staunton-Stuarts Draft, VA",Fairfax,13,51015,"","Staunton-Stuarts Draft, VA",United Bank,Waynesboro,WV,2024_22858_69
23219,DIF,SM,United States,22903,STATE,16820,286703,Virginia,06/30/1986,2024,State Agency,11,51,100.0,5,14594,United States,ATLANTIC UNION BANKSHARES CORPORATION,0,,0,20020244,,Charlottesville,ONE,CB,EXACT,"",STATE,0,,0,"1051 E Cary St, Ste 103",0,197576,1971693,540,34589,38.0556809986269,VA,4,CALL,0,Atlanta,693224,Barracks Road Branch,1,,Charlottesville (City),COMMERCIAL LENDING,"",,03/20/2010,0,23219,22903,69,0,VA,1,Virginia,5,FED,Richmond,24641518,,0,2151 Barracks Rd,-78.5015330177273,,GLEN ALLEN,51760,"",Richmond City,13,51540,"","Charlottesville, VA",Atlantic Union Bank,Charlottesville,VA,2024_34589_69
20832,DIF,SM,United States,20745,STATE,47900,55327,Maryland,11/18/1994,2024,State Agency,11,24,100.0,2,10451,United States,"SANDY SPRING BANCORP, INC.",0,,0,11464121,,Oxon Hill,ONE,CB,EXACT,"",STATE,0,,47764,17801 Georgia Ave,548,37538,1248304,33,4865,38.8049698336073,MD,4,CALL,0,New York,506922,Oxon Hill Branch,1,,Prince George's,COMMERCIAL LENDING,"",,01/01/2018,0,20832,20745,69,1,MD,1,Maryland,5,FED,Richmond,14001764,,0,6089 Oxon Hill Rd,-76.9805236984885,,OLNEY,24031,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Olney,13,24033,"Washington, DC-MD","Washington-Arlington-Alexandria, DC-VA-MD-WV",Sandy Spring Bank,Oxon Hill,MD,2024_4865_69
24112,DIF,NM,United States,24179,STATE,40220,290763,Virginia,12/04/1998,2024,State Agency,11,51,100.0,5,0,United States,"CARTER BANKSHARES, INC.",0,,0,3881771,,Vinton,ONE,CB,EXACT,"",STATE,0,,0,4 Commonwealth Blvd E,0,47530,5530258,161,58596,37.2771150140451,VA,4,CALL,0,Atlanta,3476192,Vinton Branch,1,,Roanoke,COMMERCIAL LENDING,"",,12/30/2006,0,24112,24179,69,0,VA,1,Virginia,5,FDIC,Richmond,4528828,,0,1111 E Washington Ave,-79.8810959606809,,MARTINSVILLE,51690,"",Martinsville,21,51161,"","Roanoke, VA",Carter Bank & Trust,Vinton,VA,2024_58596_69
14850,DIF,NM,United States,19087,STATE,37980,262287,New York,08/05/1996,2024,State Agency,11,42,100.0,2,10202,United States,TOMPKINS FINANCIAL CORPORATION,0,,0,6323593,,Wayne,ONE,CB,StreetAddress,"",STATE,0,,37964,118 E Seneca St,428,80392,2367921,45,609,40.0440194420579,NY,4,CALL,0,New York,433608,Wayne Branch,1,,Delaware,COMMERCIAL LENDING,"",,01/01/2022,0,14850,19087,69,0,PA,1,Pennsylvania,2,FDIC,New York,7830413,,0,153 E Lancaster Ave,-75.3859175480321,,ITHACA,36109,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Ithaca,21,42045,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Tompkins Community Bank,Wayne,NY,2024_609_69
45750,DIF,SM,United States,26105,STATE,37620,538376,Ohio,12/17/2012,2024,State Agency,11,54,100.0,9,10185,United States,PEOPLES BANCORP INC.,0,3,0,7341526,,Vienna,ONE,CB,EXACT,"",STATE,0,,0,138 Putnam St,425,52882,1070578,107,6544,39.3112659963366,OH,4,CALL,0,Chicago,577128,Vienna Grand Central Branch,1,,Wood,COMMERCIAL LENDING,Central,,"",0,45750,26105,69,0,WV,1,West Virginia,4,FED,Cleveland,9216050,,0,1102 Grand Central Ave,-81.5523079789953,,MARIETTA,39167,"Parkersburg-Marietta-Vienna, WV-OH",Marietta,13,54107,"","Parkersburg-Vienna, WV",Peoples Bank,Vienna,OH,2024_6544_69
13815,DIF,N,United States,18403,OCC,42540,215505,New York,10/29/1955,2024,Comptroller of the Currency,11,42,100.0,2,10286,United States,NBT BANCORP INC.,0,1,0,11472237,,Archbald,ONE,CB,StreetAddress,"",FED,0,,0,52 S Broad St,0,76710,1139279,69,7230,41.490802657772,NY,4,CALL,0,New York,702117,Archbald Branch,1,,Lackawanna,COMMERCIAL LENDING,Northeastern,,03/16/2001,0,13815,18403,69,0,PA,1,Pennsylvania,2,OCC,New York,13403796,,0,3 Kennedy Dr,-75.5524061058345,,NORWICH,36017,"",Norwich,3,42069,"","Scranton--Wilkes-Barre, PA","NBT Bank, National Association",Archbald,NY,2024_7230_69
17602,DIF,N,United States,19601,OCC,39740,42607,Pennsylvania,01/01/1873,2024,Comptroller of the Currency,11,42,100.0,2,9396,United States,FULTON FINANCIAL CORPORATION,0,7,0,25761661,,Reading,ONE,CB,StreetAddress,"",FED,0,,0,1 Penn Sq,428,86190,1117129,11,7551,40.338797072464,PA,4,CALL,0,New York,474919,Reading Branch,1,,Berks,COMMERCIAL LENDING,Midsize,,10/28/2000,0,17602,19601,69,0,PA,1,Pennsylvania,3,OCC,Philadelphia,31646370,,0,210 N 5th St,-75.9278602590001,,LANCASTER,42071,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Lancaster,3,42011,"","Reading, PA","Fulton Bank, National Association",Reading,PA,2024_7551_69
15701,DIF,NM,United States,15642,STATE,38300,218426,Pennsylvania,08/08/1957,2024,State Agency,11,42,100.0,2,10096,United States,"S&T BANCORP, INC.",0,,0,7713462,,Irwin,ONE,CB,EXACT,"",STATE,0,,0,800 Philadelphia St,430,217810,1071397,129,11124,40.3221239802996,PA,4,CALL,0,New York,936426,Irwin Route 30  Branch,1,,Westmoreland,COMMERCIAL LENDING,"",,06/07/2008,0,15701,15642,70,0,PA,1,Pennsylvania,4,FDIC,Cleveland,9628986,,0,9350 Route 30,-79.6971509883633,,INDIANA,42063,"Pittsburgh-Weirton-Steubenville, PA-OH-WV",Indiana,21,42129,"","Pittsburgh, PA",S&T Bank,Irwin,PA,2024_11124_70
22314,DIF,NM,United States,20186,STATE,47900,445564,Virginia,07/05/2005,2024,State Agency,11,51,100.0,5,0,United States,BURKE & HERBERT FINANCIAL SERVICES CORP.,0,,0,6663550,,Warrenton,ONE,CB,EXACT,"",STATE,0,,11694,100 S Fairfax St,548,100420,5756704,61,11578,38.7302929855558,VA,4,CALL,0,Atlanta,933621,Village Center Branch,1,,Fauquier,COMMERCIAL LENDING,"",,05/03/2024,0,22314,20186,70,0,VA,1,Virginia,5,FDIC,Richmond,7803852,,0,"251 W Lee Hwy, Ste 730",-77.8013560165657,,ALEXANDRIA,51510,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Alexandria,21,51061,"Arlington-Alexandria-Reston, VA-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",Burke & Herbert Bank & Trust Company,Warrenton,VA,2024_11578_70
16830,DIF,NM,United States,16830,STATE,0,655036,Pennsylvania,11/29/2022,2024,State Agency,29,42,100.0,2,11178,United States,CNB FINANCIAL CORPORATION,0,,0,5212854,,Clearfield,ONE,CB,EXACT,"",STATE,0,,0,1 S 2nd St,524,275,1118340,33,13876,41.0210859826864,PA,4,CALL,0,New York,399517,Niagara And Buffalo Mobile Branch Unit,0,,Clearfield,COMMERCIAL LENDING,"",,"",1,16830,16830,70,0,PA,1,Pennsylvania,3,FDIC,Philadelphia,5865071,,0,31 S 2nd St,-78.4382870320409,,CLEARFIELD,42033,"State College-DuBois, PA",Clearfield,21,42033,"","",CNB Bank,Clearfield,PA,2024_13876_70
19801,DIF,SB,United States,19063,OCC,37980,522071,Delaware,06/24/2011,2024,Comptroller of the Currency,11,42,100.0,2,7938,United States,WSFS FINANCIAL CORPORATION,0,7,0,16651602,,Media,ONE,SA,EXACT,"",FED,0,,37964,500 Delaware Ave,428,146092,3844269,45,17838,39.9170079920054,DE,4,CALL,0,New York,437914,Media Branch,1,,Delaware,COMMERCIAL LENDING,Midsize,,"",0,19801,19063,70,0,PA,1,Pennsylvania,3,OCC,Philadelphia,20647772,,0,7 E Baltimore Ave,-75.389161964594,,WILMINGTON,10003,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Wilmington,33,42045,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Wilmington Savings Fund Society, FSB",Media,DE,2024_17838_70
20832,DIF,SM,United States,20770,STATE,47900,422575,Maryland,03/17/1997,2024,State Agency,11,24,100.0,2,10451,United States,"SANDY SPRING BANCORP, INC.",0,,0,11464121,,Greenbelt,ONE,CB,EXACT,"",STATE,0,,47764,17801 Georgia Ave,548,64384,1248304,33,4865,38.9921884001196,MD,4,CALL,0,New York,506922,Greenbelt Branch,1,,Prince George's,COMMERCIAL LENDING,"",,01/01/2018,0,20832,20770,70,1,MD,1,Maryland,5,FED,Richmond,14001764,,0,7565 Greenbelt Rd,-76.8776167262707,,OLNEY,24031,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Olney,13,24033,"Washington, DC-MD","Washington-Arlington-Alexandria, DC-VA-MD-WV",Sandy Spring Bank,Greenbelt,MD,2024_4865_70
