addressLatitude,addressLongitude,creditUnionName,creditUnionSiteName,city,cityPhysical,country,isMainOffice,isMdi,bilingual_Services,credit_Builder,financial_Counseling,first_Time_Homebuyer_Program,inSchoolBranch,low_cost_wire_transfers,no_Cost_Tax_Preparation,no_Cost_Share_Drafts,palS_I,palS_II,siteFunctions,siteName,state,url,zipcode,street
40.043997,-75.227522,AMERICAN HERITAGE,Roxborough (Shoprite),Philadelphia,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;,,PA,http://www.americanheritagecu.org,19128-3209,6901 Ridge Ave
40.035087,-75.043668,POLICE & FIRE,Mayfair Branch,Philadelphia,,United States,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;,,PA,http://www.pffcu.org,19135-1008,7145 Frankford Ave
40.10534,-74.866889,AMERICAN HERITAGE,Bristol Office,Bristol,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,;ATM;;,,PA,http://www.americanheritagecu.org,19007-3101,501 Bath Rd Ste 205
40.100391,-74.873381,INSPIRE,Bristol,Bristol,,United States,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;,,PA,https://www.inspirefcu.org,19007,65 Commerce Cir
40.100391,-74.873381,ACCESS,Access Credit Union,Bristol,,United States,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;,,PA,http://www.accessmycu.org,19007-3111,23 Commerce Cir
40.14392,-74.820507,TRUMARK FINANCIAL,Levittown,Levittown,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;Shared Service Center,,PA,http://www.trumarkonline.org,19055-2458,179 Levittown Pkwy Ste C
40.028439,-75.17765,NORTHWOOD,Canaan Baptist Church,Philadelphia,,United States,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Member Services;;;,,PA,http://www.northwoodfcu.com,19144,5430 Pulaski Ave
40.093791,-74.872969,DOW BUCKS COUNTY,Dow Bucks County Federal Credit Union,Bristol,,United States,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Member Services;;;,,PA,https://www.dowbucksfcu.com,19007,310 George Patterson Dr Suite 100B
40.017105,-75.1745,ADVANTAGE FINANCIAL,PHILADELPHIA VA Offices,PHILADELPHIA,,United States,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Member Services;ATM;;,,PA,https://www.advfcu.org,19144,5000 WISSAHICKON AVE
40.01513,-75.108866,TRANSIT WORKERS,Main Office,Philadelphia,,United States,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Member Services;;;,,PA,http://www.twfcu.org,19124,919 E Cayuga St
40.011363,-75.069345,AMERICAN HERITAGE,Bridge Street,Philadelphia,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;,,PA,http://www.americanheritagecu.org,19124,2185 Bridge St
40.009683,-75.19757,PHILADELPHIA,East Falls Branch,Philadelphia,,United States,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;,,PA,http://www.pfcu.com,19129,4300 Ridge Ave
